date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2025-09-11,652.0988159179688,45.64662170410156,115.23355102539062,43.53001403808594,53.390708923339844,151.2269744873047,134.98321533203125,78.95927429199219,41.4825439453125,41.645259857177734,137.9271697998047,118.01956939697266
2025-09-12,651.880615234375,45.188232421875,116.1939926147461,43.27117156982422,53.16343307495117,150.01953125,134.89358520507812,78.69473266601562,41.29726791381836,41.85576248168945,136.3378143310547,118.63105010986328
2025-09-15,655.3511352539062,44.82349395751953,117.82775115966797,43.124656677246094,53.04485321044922,150.71231079101562,136.10865783691406,77.7933578491211,41.24850845336914,41.95366668701172,135.17294311523438,119.66011047363281
2025-09-16,654.4488525390625,44.68548583984375,117.35247039794922,43.847469329833984,52.926273345947266,150.2669677734375,135.6355743408203,78.14607238769531,41.00472640991211,41.18998718261719,135.17294311523438,120.39586639404297
2025-09-17,653.6357421875,44.78899383544922,117.65943145751953,43.95003128051758,53.44012451171875,149.5840606689453,135.16746520996094,78.6163558959961,40.98522186279297,41.292789459228516,135.43948364257812,120.09262084960938
2025-09-18,656.6898193359375,44.78899383544922,117.74853515625,43.81328201293945,53.48952865600586,151.17747497558594,137.5030059814453,77.93052673339844,41.01447677612305,41.32217025756836,135.70603942871094,119.55073547363281
2025-09-19,659.9423217773438,44.7692756652832,118.23371887207031,43.23210144042969,53.60810852050781,151.54367065429688,138.89736938476562,77.77375793457031,40.809696197509766,41.58651351928711,135.52835083007812,120.00313568115234
2025-09-22,663.0645141601562,44.75392532348633,117.82137298583984,43.182350158691406,53.53672409057617,152.05052185058594,140.9407196044922,76.9066390991211,40.94430923461914,41.989654541015625,135.49363708496094,119.61219787597656
2025-09-23,659.4551391601562,44.61030960083008,117.65245819091797,43.926109313964844,53.29878234863281,152.09027099609375,139.72409057617188,77.29136657714844,41.26856231689453,42.206504821777344,135.80105590820312,118.48668670654297
2025-09-24,657.3569946289062,44.065555572509766,116.67872619628906,44.497474670410156,53.15007019042969,151.30517578125,138.8614501953125,77.45906829833984,40.84605407714844,42.50713348388672,135.25563049316406,119.32335662841797
2025-09-25,654.3242797851562,43.4910888671875,116.28128051757812,44.896446228027344,53.01127243041992,150.2815704345703,138.6171417236328,76.71920013427734,40.74779510498047,42.098079681396484,133.01443481445312,117.64007568359375
2025-09-26,658.072998046875,43.99622344970703,117.41398620605469,45.3101921081543,53.397926330566406,151.63311767578125,139.03598022460938,76.9066390991211,41.15065383911133,42.783119201660156,134.37303161621094,119.37813568115234
2025-09-29,659.9224243164062,44.16460418701172,117.79155731201172,44.47777557373047,53.665611267089844,152.10020446777344,139.77891540527344,77.05461120605469,41.2292594909668,42.90633010864258,134.7696990966797,119.90103912353516
2025-09-30,662.4082641601562,44.382503509521484,117.61270904541016,44.00491714477539,53.407840728759766,153.2728729248047,140.54180908203125,77.31109619140625,41.39630126953125,42.98025894165039,138.0124969482422,119.34326934814453
2025-10-01,664.6654663085938,43.91698455810547,115.96332550048828,44.00491714477539,52.93195724487305,152.84555053710938,141.9180145263672,77.1927261352539,41.39630126953125,43.39424133300781,142.2767333984375,120.09028625488281
2025-10-02,665.4309692382812,44.42707443237305,115.70499420166016,43.561622619628906,52.892303466796875,153.24307250976562,142.68589782714844,76.88690948486328,41.18013381958008,43.31538391113281,141.9990692138672,119.22374725341797
